host,category
101.99.88.6,only_manual
101.99.95.26,only_manual
103.114.216.115,only_manual
103.116.46.164,only_manual
103.116.46.45,only_manual
103.116.47.231,only_manual
103.116.47.233,only_manual
103.126.138.190,only_manual
103.129.196.122,only_manual
103.129.196.220,only_manual
103.129.199.147,only_manual
103.129.199.231,only_manual
103.129.199.232,only_manual
103.129.199.235,only_manual
103.140.54.35,only_manual
103.155.93.24,only_manual
103.155.93.242,only_manual
103.200.209.76,only_manual
103.29.183.161,only_manual
103.37.3.202,only_manual
103.37.3.203,only_manual
103.37.3.204,only_manual
103.37.3.205,only_manual
103.37.3.206,only_manual
103.42.207.209,only_manual
103.64.12.112,only_manual
103.64.12.222,only_manual
103.64.12.72,only_manual
103.64.13.65,only_manual
103.64.13.66,only_manual
103.83.87.48,only_manual
103.89.72.28,only_manual
103.96.148.193,only_manual
103.96.148.52,only_manual
104.160.22.85,only_manual
104.168.10.116,only_manual
104.168.157.166,only_manual
104.194.132.62,only_manual
104.206.82.52,only_manual
104.206.82.59,only_manual
104.234.3.239,only_manual
104.236.16.85,only_manual
104.237.200.116,only_manual
104.247.73.129,only_manual
104.255.152.206,only_manual
104.255.153.192,only_manual
104.36.62.104,only_manual
104.37.185.58,only_manual
107.150.51.107,only_manual
107.161.24.87,only_manual
107.167.78.3,only_manual
107.6.146.2,only_manual
108.166.186.179,only_manual
109.205.176.248,only_manual
109.234.37.96,only_manual
110.34.192.55,only_manual
110.34.192.56,only_manual
111.90.147.182,only_manual
111.90.147.185,only_manual
111.90.147.46,only_manual
111.90.158.237,only_manual
113.10.158.167,only_manual
113.52.144.123,only_manual
114.142.162.232,only_manual
118.139.163.183,only_manual
122.201.77.42,only_manual
123.57.48.128,only_manual
128.140.39.45,only_manual
128.199.112.12,only_manual
128.199.213.68,only_manual
128.199.77.89,only_manual
13.200.163.92,only_manual
13.216.93.175,only_manual
13.56.29.168,only_manual
13.57.100.23,only_manual
13.57.74.103,only_manual
130.0.235.128,only_manual
132.247.70.84,only_manual
133.18.16.202,only_manual
133.242.145.188,only_manual
134.119.214.117,only_manual
134.119.214.235,only_manual
134.119.215.186,only_manual
135.125.191.125,only_manual
137.184.201.216,only_manual
138.68.158.133,only_manual
139.190.9.41,only_manual
139.59.137.195,only_manual
139.59.167.39,only_manual
139.59.78.76,only_manual
139.84.135.91,only_manual
139.84.163.151,only_manual
139.84.177.69,only_manual
139.99.121.91,only_manual
14.192.48.152,only_manual
14.192.48.184,only_manual
140.112.241.217,only_manual
140.82.3.125,only_manual
140.82.56.253,only_manual
141.195.118.216,only_manual
141.195.119.48,only_manual
141.35.12.78,only_manual
141.94.102.86,only_manual
141.94.115.238,only_manual
141.94.170.34,only_manual
141.94.203.147,only_manual
141.95.1.201,only_manual
141.98.117.253,only_manual
141.98.119.160,only_manual
142.4.193.24,only_manual
